,title,name,url,lat,long,artist,description,artist_state,address,img_link,id,Sentence,ArtState
0,Angel of Victory," ""Waterfront Station""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=24&Neighbourhood=&Ownership=&Program=,-123.111406,49.28525,['Couer de Lion MacCarthy'],"A heritage monument, this bronze figurative sculpture depicts an angel carrying a dead soldier and commemorates those who lost their lives in World War I. This is one of three identical statues commissioned by the Canadian Pacific Railway in 1921 to honour their workers who answered the call of ""king and country"" and made the ultimate sacrifice.  The others are in Winnipeg and Montreal.  The angel  originally held a full wreath in her upraised hand. After WW II, the dates of that war were also added to the plaque.",The artist won the CPR commission from a nation-wide competition.,601 West Cordova Street,https://app.vancouver.ca/publicart_net/Img/jpg/024.jpg,pid_0,a heritage monument this bronze figurative sculpture depicts an angel carrying a dead soldier and commemorates those who lost their lives in world war i this is one of three identical statues commissioned by the canadian pacific railway in to honour their workers who answered the call of king and country and made the ultimate sacrifice the others are in winnipeg and montreal the angel originally held a full wreath in her upraised hand after ww ii the dates of that war were also added to the plaque,the artist won the cpr commission from a nation wide competition
1,Weathervane," ""Pomaria""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=487&Neighbourhood=&Ownership=&Program=,-123.13083200000001,49.275678000000006,['Rodney Graham'],"Copper sculpture of the artist as the philosopher, Erasmus, seated backwards on a horse reading a book.","Riding high among the rooftops in Vancouver is an unusual sight that awaits the casual viewer looking upward from street to sky; a 58 inch-high bright copper sculpture of a historical-looking figure riding a lively horse with a ringleted mane, reading a book while sitting backwards. The figure faces the direction of the wind as indicated by the four directionals and the tipped arrow upon which it rests. Closer investigation reveals this to be Rodney Graham’s Weathervane sculpture, which depicts the artist dressed as 16th Century humanist and classical scholar, Erasmus. Absorbed in the solitary activity of reading, the figure is lost in thought and contemplation, not having to worry about where he is going or what lies ahead but, as Rodney Graham puts it, is able to ‘ponder on horseback’  moving forward but also looking backward, to the past.  Rodney Graham based the weathervane on a contemporary anecdote which claimed that Erasmus wrote his most well-known work, The Praise of Folly, on horseback during a journey from Italy to England circa 1510. Graham plays on the absurdism inherent in reading a philosophical treatise on human folly whilst riding on a horse backwards and continues his ongoing philosophical enquiry into cyclical and backward movement; like all his work it contains a complex narrative and is brimful of references: literary, philosophical, self-referential and art historical.  Rodney Graham’s poetic and humourous weathervane, helpfully indicating wind direction and compass points for any serious traveller who looks upward to contemplate the conditions for travel, continues his preoccupation with un-urgent journeying. Erasmus travels from Italy to England leisurely by horseback, the cowboy meanders gently off the beaten track, the buccaneer’s unknown voyage which has thrown him up on a “treasure island”, and the chemically-induced mental journeys that take place in the artist’s head, remind us even if we are not going anywhere in particular that ‘the trip is the thing’.
(Rodney Graham in conversation with Iwona Blazwick, Director, Whitechapel Gallery, October 14th 2008
2 Rodney Graham in Rodney Graham, Whitechapel Art Gallery, London 2002 p.109)","1455 Howe Street, Vancouver, B.C. V6Z 1C2",https://app.vancouver.ca/publicart_net/Img/jpg/487.jpg,pid_1,copper sculpture of the artist as the philosopher erasmus seated backwards on a horse reading a book,riding high among the rooftops in vancouver is an unusual sight that awaits the casual viewer looking upward from street to sky a inch high bright copper sculpture of a historical looking figure riding a lively horse with a ringleted mane reading a book while sitting backwards the figure faces the direction of the wind as indicated by the four directionals and the tipped arrow upon which it rests closer investigation reveals this to be rodney graham s weathervane sculpture which depicts the artist dressed as th century humanist and classical scholar erasmus absorbed in the solitary activity of reading the figure is lost in thought and contemplation not having to worry about where he is going or what lies ahead but as rodney graham puts it is able to ponder on horseback moving forward but also looking backward to the past rodney graham based the weathervane on a contemporary anecdote which claimed that erasmus wrote his most well known work the praise of folly on horseback during a journey from italy to england circa graham plays on the absurdism inherent in reading a philosophical treatise on human folly whilst riding on a horse backwards and continues his ongoing philosophical enquiry into cyclical and backward movement like all his work it contains a complex narrative and is brimful of references literary philosophical self referential and art historical rodney graham s poetic and humourous weathervane helpfully indicating wind direction and compass points for any serious traveller who looks upward to contemplate the conditions for travel continues his preoccupation with un urgent journeying erasmus travels from italy to england leisurely by horseback the cowboy meanders gently off the beaten track the buccaneer s unknown voyage which has thrown him up on a treasure island and the chemically induced mental journeys that take place in the artist s head remind us even if we are not going anywhere in particular that the trip is the thing rodney graham in conversation with iwona blazwick director whitechapel gallery october th rodney graham in rodney graham whitechapel art gallery london p
2,Wilp," ""Native Education Centre""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=367&Neighbourhood=&Ownership=&Program=,-123.09901,49.266551,"['Norman Tait', '', '', '', 'Robert Tait', '', '', '', 'Isaac Tait', '', '', '', 'Wayne Young', '', '', '', 'Harry ""Hammy"" Martin']","unpainted portal pole carved in Nishga (Tsimshian) style. The pole's name, Wilp, means ""where the people gather."" 

Norman Tait's carving assistants were all family: brother, son, nephew, and cousin, and they are represented by the four faces around the entrance. Each man carved his own  ""signature piece""; though similar, all are different. Tait's signature piece is the little bear cub.","""The carved figures tell the story of Man, taken care of by the spirits, who wandered the empty earth. Lonely, he went to the forest aned asked the Spirit of the Forest, ""Why am I alone? Isn't there anyone in the forest to help me?"" The spirit said, ""I will give you Black Bear. If you can live in harmony with him, I will send you more of my children."" He did, and Man learned to live in peace with the forest people.

Paddling on the sea, Man asked the Spirit of the Sea, ""Why am I alone on the water?"" The spirit said, ""I will send you Blackfish; If you learn to live with him, I will send you more of my children."" He did, and Man learned to live in peace with the people of the sea.

Noticing the emptiness of the sky one day, Man said to the Spirit of the Sky, ""Send me one of your children, for I have twice shown tha ti can live with other than myself."" The Spirit of the Sky send him Raven, and Man again  proved he could live in harmony with the other creatures.

That humans can live together with the children of the forest, the water and the sky is evidneced by the many animals, fish and birds that still aboun in these habitaats. If wwwe can learn to live in peace with such diverse creatures, we can surely live in peace with each other."" (from Stewart, Totem Poles, 1990)", 285 East 5th Avenue,https://app.vancouver.ca/publicart_net/Img/jpg/367.jpg,pid_2,unpainted portal pole carved in nishga tsimshian style the pole s name wilp means where the people gather norman tait s carving assistants were all family brother son nephew and cousin and they are represented by the four faces around the entrance each man carved his own signature piece though similar all are different tait s signature piece is the little bear cub,the carved figures tell the story of man taken care of by the spirits who wandered the empty earth lonely he went to the forest aned asked the spirit of the forest why am i alone isn t there anyone in the forest to help me the spirit said i will give you black bear if you can live in harmony with him i will send you more of my children he did and man learned to live in peace with the forest people paddling on the sea man asked the spirit of the sea why am i alone on the water the spirit said i will send you blackfish if you learn to live with him i will send you more of my children he did and man learned to live in peace with the people of the sea noticing the emptiness of the sky one day man said to the spirit of the sky send me one of your children for i have twice shown tha ti can live with other than myself the spirit of the sky send him raven and man again proved he could live in harmony with the other creatures that humans can live together with the children of the forest the water and the sky is evidneced by the many animals fish and birds that still aboun in these habitaats if wwwe can learn to live in peace with such diverse creatures we can surely live in peace with each other from stewart totem poles
3,Personalizing Our Park," ""Fleming Street Greenway""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=220&Neighbourhood=&Ownership=&Program=,-123.071802,49.253479,"['Karen Stanley', '', '', '', 'Tom Chavez']","The mosaics are cement stepping stones in various colours, shapes and with  inlays.","Personalizing Our Park is a process of celebrating our community spirit and action through hands-on art making that will give the pocket park, made by community members, a unique and lasting sculptural signature. The mosaics depict historical references to one of Vancouver's oldest neighbourhoods, ""Cedar Cottage,"" once the site of Moses Gibson's farm where, in the early days of urban development, the city met the forest.", 19th & Fleming Street,https://app.vancouver.ca/publicart_net/Img/jpg/220.jpg,pid_3,the mosaics are cement stepping stones in various colours shapes and with inlays,personalizing our park is a process of celebrating our community spirit and action through hands on art making that will give the pocket park made by community members a unique and lasting sculptural signature the mosaics depict historical references to one of vancouver s oldest neighbourhoods cedar cottage once the site of moses gibson s farm where in the early days of urban development the city met the forest
4,Ring Gear," ""median""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=226&Neighbourhood=&Ownership=&Program=,-123.11698700000001,49.27431,['Unknown'],"The 8m high gear is installed as a monument to commemorate the designers and builders of the many bridges across False Creek.  The gear was part of the second Cambie Bridge (or Connaught Bridge) which opened in 1911 and remained in service until 1984. Installed on the centre pier, the gear supported the steel truss swing span.",,"Pacific Blvd median, near Cambie Bridge",https://app.vancouver.ca/publicart_net/Img/jpg/226.jpg,pid_4,the m high gear is installed as a monument to commemorate the designers and builders of the many bridges across false creek the gear was part of the second cambie bridge or connaught bridge which opened in and remained in service until installed on the centre pier the gear supported the steel truss swing span,
5,Project for a Public Works Yard," ""National Street Works Yard COV""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=431&Neighbourhood=&Ownership=&Program=,-123.088931251443,49.27370526,['Greg Snider'],"Greg Snider’s project brings together the various functions the works yard supports, and quotes them all in sculptural terms.  To best describe the work, imagine that someone cut a large rectangular block out of the street, then lifted the cross-section up. What was underground is now at eye level.  The fire hydrant is a cut-away exposing the valves and inner workings.  We can see the water mains, the sewer lines, where the storm drains lead, and the inside of manholes.  Above street level, the more familiar streetlights, parking meter and tree are no longer physically accessible.",The piece represents the services provided by the City. The various departments of the Works Yard are all represented in the piece and helped to fabricate it., 700 National Avenue,https://app.vancouver.ca/publicart_net/Img/jpg/431.jpg,pid_5,greg snider s project brings together the various functions the works yard supports and quotes them all in sculptural terms to best describe the work imagine that someone cut a large rectangular block out of the street then lifted the cross section up what was underground is now at eye level the fire hydrant is a cut away exposing the valves and inner workings we can see the water mains the sewer lines where the storm drains lead and the inside of manholes above street level the more familiar streetlights parking meter and tree are no longer physically accessible,the piece represents the services provided by the city the various departments of the works yard are all represented in the piece and helped to fabricate it
6,Three Watchmen," ""Marguerite House  Quilchena Park""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=457&Neighbourhood=&Ownership=&Program=,-123.15266412986401,49.24435754,['Jim Hart'],This black bronze sculpture 14' high and 4' wide represents three crouching human figures wearing exceptionally high hats.,"The piece is based on legendary Haida figures who remain watchful to alert the owner to the approach of an enemy or any threat. The three figures can be said to represent the past, present and future and the interior, exterior and supernatural worlds.",4655 Valley Drive,https://app.vancouver.ca/publicart_net/Img/jpg/457.jpg,pid_6,this black bronze sculpture high and wide represents three crouching human figures wearing exceptionally high hats,the piece is based on legendary haida figures who remain watchful to alert the owner to the approach of an enemy or any threat the three figures can be said to represent the past present and future and the interior exterior and supernatural worlds
7,Country Living in the City," ""Champlain Heights Community Centre""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=417&Neighbourhood=&Ownership=&Program=,-123.032018,49.214853999999995,['Andrew Currie'],These colourful murals are made up of puzzle-like pieces.,"Working with several community groups affiliated with the centre and neighbourhood schools, the design and concept for the mural took shape over two months of classes and workshops. ""Country Living in the City"" became the project's theme. Cut into puzzle-like pieces, the mural panels were painted by neighbourhood children, seniors, centre staff, and other groups. The puzzle shapes suggest connections amongst community members, while the images of the mural show ""the southeast corner of Vancouver, which until the late 1960's and early 70's, was the remaining rural region in an ever-expanding urban setting."" - Park Board web site", 3350 Maquinna Drive,https://app.vancouver.ca/publicart_net/Img/jpg/417.jpg,pid_7,these colourful murals are made up of puzzle like pieces,working with several community groups affiliated with the centre and neighbourhood schools the design and concept for the mural took shape over two months of classes and workshops country living in the city became the project s theme cut into puzzle like pieces the mural panels were painted by neighbourhood children seniors centre staff and other groups the puzzle shapes suggest connections amongst community members while the images of the mural show the southeast corner of vancouver which until the late s and early s was the remaining rural region in an ever expanding urban setting park board web site
8,Concerto," ""Buchanan Building""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=124&Neighbourhood=&Ownership=&Program=,-123.254925,49.268271,['Gerhard Class'],The patinated copper abstract of geometric forms and cut-out circles was the winner of a Canada Council contest in 1960 and a bequest to the University.,,UBC Main Mall,https://app.vancouver.ca/publicart_net/Img/jpg/124.jpg,pid_8,the patinated copper abstract of geometric forms and cut out circles was the winner of a canada council contest in and a bequest to the university,
9,Untitled (100)," ""Granville Street Bridge""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=52&Neighbourhood=&Ownership=&Program=,-123.13896299999999,49.267592,['Stonecoat Industries'],This 7' high stone 100 was made to celebrate the centennial of the city.,, Granville Street at 4th Avenue,https://app.vancouver.ca/publicart_net/Img/jpg/052.jpg,pid_9,this high stone was made to celebrate the centennial of the city,
