title,artist,location,category,link,year,description
Convergence, Connie Glover and Vallalee Hoffman,"Chuck Bailey Recreation Centre Youth Park, 13458 107A Avenue", Civic collection,http://www.surrey.ca/culture-recreation/18056.aspx,2004,"Dancing Tower is a metaphor for the dynamic of dance, and was created to integrate art and architecture. The artwork suggests excitement and passion of individuals and community groups who are using the building to create work and memories for Surrey's cultural legacy."
Lightmodal, Organnelle Design & Urban Visual,Peterson Hill (King George Boulevard at 132 Street), Civic collection,http://www.surrey.ca/culture-recreation/18145.aspx,2012,"Originally installed at the North Surrey Recreation Centre in Spring 2011, these 50 mosaic projects can now be found outside the Chuck Bailey Recreation Centre. Glover and Hoffman worked with the Whalley community to create a mosaic pathway that reflects the neighbourhood. Located within the gardens on the east site of the building, Convergence reflects on the place people meet as they make their way to work, play, and shopping, and also how the community’s cultural diversity is intermingling and converging. Circular shapes contain images of local history, families, nature, and recreation activities."
Marks, Liz Mago,City Centre Library (10350 University Drive), Civic collection,http://www.surrey.ca/culture-recreation/18148.aspx,2011,"Lightmodal was inspired by the artists’ desire to create an urban aurora borealis, adding a visual delight to Surrey’s civic environment."
Pebble Mosaics, Glen Andersen,Holland Park (13428 Old Yale Road), Civic collection,http://www.surrey.ca/culture-recreation/18059.aspx,2008,"Liz Magor’s four sculptural forms titled Marks are installed in a group of three on the third floor and a single piece on the fourth floor of the City Centre Library. These large silicone forms look abstract at first, but seen from above, they resemble punctuation marks. As we move between them, we become part of the narrative of the library: the story of people coming together in a public place to pursue solitary acts of reading, studying, or researching."
"Protecting the Future, Serving the Present", Artform Sculpture Studio,Holland Park (13428 Old Yale Road), Civic collection,http://www.surrey.ca/culture-recreation/18133.aspx,2009,"A series of pebble mosaic panels are installed on wall inserts and walkways in Holland Park. The artist worked with river rocks, carefully combining colour, texture, size, and form to build complex yet simply stunning designs. These mosaic artworks are based on mandala, wheel, and floral designs and reference cultural and natural motifs. The largest is “Dahlia,” located on the plaza at the King George entrance to the park. All are intended to enhance the park experience and complement nearby steel sculptures by Bruce Voyce."
"Spring Floraform, Summer Floraform, & Seeds of Change", Bruce Voyce,Holland Park (13428 Old Yale Road), Civic collection,http://www.surrey.ca/culture-recreation/18060.aspx,2008,"This bronze-coloured concrete sculpture was dedicated to the Surrey Firefighters in recognition of their contribution to the City over the past 50 years. It speaks of the spirit and diversity of firefighters, their efforts to safeguard our neighbourhoods and homes, and their charitable work, especially that directly benefitting youth in our community.

The firefighter depicted has been modelled after a serving member of the Surrey Fire Department. Of Korean descent, he represents not only the years of dedicated firemen, but also the cultural and ethnic diversity that is one of the hallmarks of the City of Surrey."
Together, Sophie Nielsen and Rolf Knudsen of Studio Roso,City Hall (13450 104 Ave), Civic collection,http://www.surrey.ca/culture-recreation/18149.aspx,2014,"Bruce Voyce’s series of large-scale, delicate sculptures, based on flowers, leaves, seeds, and seedpods, are located throughout Holland Park. The artist conceived metal sculptures that refer to edible and medicinal plants with a rich history amongst First Nations cultures as a means to harmonize the urban and natural environments in the park."
Underfoot Yet Overhead (Part 1), Karen Kazme,SkyTrain pillars along University Drive near 105A Avenue, Civic collection,http://www.surrey.ca/culture-recreation/18134.aspx,2009,"Surrey's City Hall features an artwork inspired by the theme of democracy. The lead artists took their inspiration for the planned artwork from the behaviour of animals, who work collectively to ensure their survival. Studio Roso said, ""As a way of conveying the theme of ‘democracy,’ we have worked with a conceptual analogy of democracy—a flock of birds."""
Underfoot Yet Overhead (Part 2), Karen Kazme,SkyTrain pillars near Holland Park, Civic collection,http://www.surrey.ca/culture-recreation/18143.aspx,2009,"Underfoot Yet Overhead is two different, yet related, series of visual markers installed on SkyTrain pillars in City Centre. In Part 1, viewers will see a series of pierced metal panels with imagery based on the increments of athlete’s movements. Arranged sequentially, like stop-motion animation, the series of twelve different actions celebrate sports activities in Whalley Athletic Park and Holland Park. Artist Karen Kazmer calls each series “a microscopic hunt for meaning.” Their intent is to create a visible presence for what is normally unseen or overlooked."
Were It Not For You, Glen Andersen,Holland Park (13428 Old Yale Road), Civic collection,http://www.surrey.ca/culture-recreation/18057.aspx,2008,"The venue is Canada's largest non-commercial outdoor urban screen dedicated to presenting digital and interactive art, and can be viewed from SkyTrain, between Gateway and Surrey Central stations."
West Coast Landscape, Gordon Smith,City Centre Library (10350 University Drive), Civic collection,http://www.surrey.ca/culture-recreation/18146.aspx,2011,"The three-panel “bas-relief” (low relief sculpture) decorates the central fountain wall in Holland Park. The scenes on the panels are executed in a joyous, Art Nouveau style, with a nod to Asian ornament. The triptych’s imagery depicts earth, air, fire, water, and space in dynamic interplay. Symbolic of these are images of a curling fern frond, a hummingbird, the sun, and a fish with overarching waves. This artwork celebrates the life force and complements the other nature-based artworks in the park."
