title,name,url,lat,long,artist,description,artist_state,address,img_link
Angel of Victory," ""Waterfront Station""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=24&Neighbourhood=&Ownership=&Program=, -123.111406,49.28525,['Couer de Lion MacCarthy'],"A heritage monument, this bronze figurative sculpture depicts an angel carrying a dead soldier and commemorates those who lost their lives in World War I. This is one of three identical statues commissioned by the Canadian Pacific Railway in 1921 to honour their workers who answered the call of ""king and country"" and made the ultimate sacrifice.  The others are in Winnipeg and Montreal.  The angel  originally held a full wreath in her upraised hand. After WW II, the dates of that war were also added to the plaque.",The artist won the CPR commission from a nation-wide competition.,601 West Cordova Street,https://app.vancouver.ca/publicart_net/Img/jpg/024.jpg
Weathervane," ""Pomaria""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=487&Neighbourhood=&Ownership=&Program=, -123.130832,49.275678,['Rodney Graham'],"Copper sculpture of the artist as the philosopher, Erasmus, seated backwards on a horse reading a book.","Riding high among the rooftops in Vancouver is an unusual sight that awaits the casual viewer looking upward from street to sky; a 58 inch-high bright copper sculpture of a historical-looking figure riding a lively horse with a ringleted mane, reading a book while sitting backwards. The figure faces the direction of the wind as indicated by the four directionals and the tipped arrow upon which it rests. Closer investigation reveals this to be Rodney Graham’s Weathervane sculpture, which depicts the artist dressed as 16th Century humanist and classical scholar, Erasmus. Absorbed in the solitary activity of reading, the figure is lost in thought and contemplation, not having to worry about where he is going or what lies ahead but, as Rodney Graham puts it, is able to ‘ponder on horseback’  moving forward but also looking backward, to the past.  Rodney Graham based the weathervane on a contemporary anecdote which claimed that Erasmus wrote his most well-known work, The Praise of Folly, on horseback during a journey from Italy to England circa 1510. Graham plays on the absurdism inherent in reading a philosophical treatise on human folly whilst riding on a horse backwards and continues his ongoing philosophical enquiry into cyclical and backward movement; like all his work it contains a complex narrative and is brimful of references: literary, philosophical, self-referential and art historical.  Rodney Graham’s poetic and humourous weathervane, helpfully indicating wind direction and compass points for any serious traveller who looks upward to contemplate the conditions for travel, continues his preoccupation with un-urgent journeying. Erasmus travels from Italy to England leisurely by horseback, the cowboy meanders gently off the beaten track, the buccaneer’s unknown voyage which has thrown him up on a “treasure island”, and the chemically-induced mental journeys that take place in the artist’s head, remind us even if we are not going anywhere in particular that ‘the trip is the thing’.
(Rodney Graham in conversation with Iwona Blazwick, Director, Whitechapel Gallery, October 14th 2008
2 Rodney Graham in Rodney Graham, Whitechapel Art Gallery, London 2002 p.109)","1455 Howe Street, Vancouver, B.C. V6Z 1C2",https://app.vancouver.ca/publicart_net/Img/jpg/487.jpg
Wilp," ""Native Education Centre""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=367&Neighbourhood=&Ownership=&Program=, -123.09901,49.266551,"['Norman Tait', '', '', '', 'Robert Tait', '', '', '', 'Isaac Tait', '', '', '', 'Wayne Young', '', '', '', 'Harry ""Hammy"" Martin']","unpainted portal pole carved in Nishga (Tsimshian) style. The pole's name, Wilp, means ""where the people gather."" 

Norman Tait's carving assistants were all family: brother, son, nephew, and cousin, and they are represented by the four faces around the entrance. Each man carved his own  ""signature piece""; though similar, all are different. Tait's signature piece is the little bear cub.","""The carved figures tell the story of Man, taken care of by the spirits, who wandered the empty earth. Lonely, he went to the forest aned asked the Spirit of the Forest, ""Why am I alone? Isn't there anyone in the forest to help me?"" The spirit said, ""I will give you Black Bear. If you can live in harmony with him, I will send you more of my children."" He did, and Man learned to live in peace with the forest people.

Paddling on the sea, Man asked the Spirit of the Sea, ""Why am I alone on the water?"" The spirit said, ""I will send you Blackfish; If you learn to live with him, I will send you more of my children."" He did, and Man learned to live in peace with the people of the sea.

Noticing the emptiness of the sky one day, Man said to the Spirit of the Sky, ""Send me one of your children, for I have twice shown tha ti can live with other than myself."" The Spirit of the Sky send him Raven, and Man again  proved he could live in harmony with the other creatures.

That humans can live together with the children of the forest, the water and the sky is evidneced by the many animals, fish and birds that still aboun in these habitaats. If wwwe can learn to live in peace with such diverse creatures, we can surely live in peace with each other."" (from Stewart, Totem Poles, 1990)", 285 East 5th Avenue,https://app.vancouver.ca/publicart_net/Img/jpg/367.jpg
Personalizing Our Park," ""Fleming Street Greenway""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=220&Neighbourhood=&Ownership=&Program=, -123.071802,49.253479,"['Karen Stanley', '', '', '', 'Tom Chavez']","The mosaics are cement stepping stones in various colours, shapes and with  inlays.","Personalizing Our Park is a process of celebrating our community spirit and action through hands-on art making that will give the pocket park, made by community members, a unique and lasting sculptural signature. The mosaics depict historical references to one of Vancouver's oldest neighbourhoods, ""Cedar Cottage,"" once the site of Moses Gibson's farm where, in the early days of urban development, the city met the forest.", 19th & Fleming Street,https://app.vancouver.ca/publicart_net/Img/jpg/220.jpg
Ring Gear," ""median""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=226&Neighbourhood=&Ownership=&Program=, -123.116987,49.27431,['Unknown'],"The 8m high gear is installed as a monument to commemorate the designers and builders of the many bridges across False Creek.  The gear was part of the second Cambie Bridge (or Connaught Bridge) which opened in 1911 and remained in service until 1984. Installed on the centre pier, the gear supported the steel truss swing span.",,"Pacific Blvd median, near Cambie Bridge",https://app.vancouver.ca/publicart_net/Img/jpg/226.jpg
Project for a Public Works Yard," ""National Street Works Yard COV""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=431&Neighbourhood=&Ownership=&Program=, -123.088931251443,49.27370526,['Greg Snider'],"Greg Snider’s project brings together the various functions the works yard supports, and quotes them all in sculptural terms.  To best describe the work, imagine that someone cut a large rectangular block out of the street, then lifted the cross-section up. What was underground is now at eye level.  The fire hydrant is a cut-away exposing the valves and inner workings.  We can see the water mains, the sewer lines, where the storm drains lead, and the inside of manholes.  Above street level, the more familiar streetlights, parking meter and tree are no longer physically accessible.",The piece represents the services provided by the City. The various departments of the Works Yard are all represented in the piece and helped to fabricate it., 700 National Avenue,https://app.vancouver.ca/publicart_net/Img/jpg/431.jpg
Three Watchmen," ""Marguerite House  Quilchena Park""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=457&Neighbourhood=&Ownership=&Program=, -123.152664129864,49.24435754,['Jim Hart'],This black bronze sculpture 14' high and 4' wide represents three crouching human figures wearing exceptionally high hats.,"The piece is based on legendary Haida figures who remain watchful to alert the owner to the approach of an enemy or any threat. The three figures can be said to represent the past, present and future and the interior, exterior and supernatural worlds.",4655 Valley Drive,https://app.vancouver.ca/publicart_net/Img/jpg/457.jpg
Country Living in the City," ""Champlain Heights Community Centre""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=417&Neighbourhood=&Ownership=&Program=, -123.032018,49.214854,['Andrew Currie'],These colourful murals are made up of puzzle-like pieces.,"Working with several community groups affiliated with the centre and neighbourhood schools, the design and concept for the mural took shape over two months of classes and workshops. ""Country Living in the City"" became the project's theme. Cut into puzzle-like pieces, the mural panels were painted by neighbourhood children, seniors, centre staff, and other groups. The puzzle shapes suggest connections amongst community members, while the images of the mural show ""the southeast corner of Vancouver, which until the late 1960's and early 70's, was the remaining rural region in an ever-expanding urban setting."" - Park Board web site", 3350 Maquinna Drive,https://app.vancouver.ca/publicart_net/Img/jpg/417.jpg
Concerto," ""Buchanan Building""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=124&Neighbourhood=&Ownership=&Program=, -123.254925,49.268271,['Gerhard Class'],The patinated copper abstract of geometric forms and cut-out circles was the winner of a Canada Council contest in 1960 and a bequest to the University.,,UBC Main Mall,https://app.vancouver.ca/publicart_net/Img/jpg/124.jpg
Untitled (100)," ""Granville Street Bridge""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=52&Neighbourhood=&Ownership=&Program=, -123.138963,49.267592,['Stonecoat Industries'],This 7' high stone 100 was made to celebrate the centennial of the city.,, Granville Street at 4th Avenue,https://app.vancouver.ca/publicart_net/Img/jpg/052.jpg
The Game," ""General Motors Place Arena""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=203&Neighbourhood=&Ownership=&Program=, -123.10859,49.278477,['Liz Magor'],"Fourteen large metal balls are scattered throughout the grounds of General Motors Place Arena: 7 are smooth stainless steel with 3 grooves at each pole and 7 are aluminum with grooves every 3"".  Two bronze medallions are inset into each ball; one end depicts a star and the other is the face of a person in action.  All balls are 60.5"" in diameter.","The Game… engages all the exterior sites of the Arena at once, identifying them as a field for an over-sized game.  There are two teams of balls - 7 for each side.  It appears as a game in progress…  Contributing to the idea that there are dramatic consequences to this game, bronze medallions are set into each ball to carry the image of a person in action.  In the form of a portrait,  these human images lend an identity to each ball and also indicate its situation in the game.  Some faces appear triumphant, others suffer the stress of falling or spinning... At the opposite pole each ball carries the image of a star.  Whether read as rising or falling this sign casts the player as a guest of fate, inexorably rolled along in the flow of events.  (the artist)", 800 Griffiths Way,https://app.vancouver.ca/publicart_net/Img/jpg/203.jpg
Thunderbirds," ""Thunderbird Stadium""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=134&Neighbourhood=&Ownership=&Program=, -123.244446,49.254687,['Zeljko Kujundzic'],The 12 modern thunderbirds are mounted atop 12 metal poles. The design references the thunderbird form on native button blankets and the number represents a team.,,,https://app.vancouver.ca/publicart_net/Img/jpg/134.jpg
Symbols of the Cuneiforms," """"", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=175&Neighbourhood=&Ownership=&Program=, -123.12202,49.283618,"['F. Lachnit', '', '', '', 'Patricia Thomas', '', '', '', 'Lionel Thomas']",This artwork is a delicate metal relief with plexiglas inserts.  The white sections are lighted at night. It is mounted on the exterior northwest corner of the building at Burrard and Robson (formerly the Vancouver Public Library). The piece was saved when the building was renovated from the old library.,,750 Burrard Street,https://app.vancouver.ca/publicart_net/Img/jpg/175.jpg
Mosaic Planet," """"", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=440&Neighbourhood=&Ownership=&Program=, -123.069932,49.260535,"['Glen Andersen', '', '', '', 'Marina Szijarto']",Four 4'x4' sidewalk mosaics of porcelain tiles show colourful images of community life in the area.,,10th & 11th Avenues and Commercial Street,
Transcendence," ""Thea Koerner Grad Student Center""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=115&Neighbourhood=&Ownership=&Program=, -123.256733,49.268823,['Jack Harman'],Four figures face the directions of the compass. The piece is in the centre of a pond and acts as a fountain.,The work was chosen from a competition of 5 submssions., Crescent Road,https://app.vancouver.ca/publicart_net/Img/jpg/115.jpg
Thunderbird Mural," ""Thunderbird Community Centre""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=305&Neighbourhood=&Ownership=&Program=, -123.031862,49.263387,,,, 2511 Cassiar Street,
Digital Orca," ""Jack Poole Plaza  Vancouver Convention Centre""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=582&Neighbourhood=&Ownership=&Program=, -123.116774,49.289775,['Douglas Coupland'],,"The raison d'etre of the piece was to commemorate the workers in and around Burrard Inlet and Coal Harbour. The site's owners, Pavco specifically wanted artists to consider the past, present and future of the site.",Jack Poole Plaza,https://app.vancouver.ca/publicart_net/Img/jpg/582.jpg
Chinatown Millennium Gate," ""Keefer""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=397&Neighbourhood=&Ownership=&Program=, -123.105193,49.280719,"['Joe Y. Wai Architect, Inc']","The gate follows traditional form that commonly uses one large central arch and two smaller ones. Classical Chinese architecture emphasizes odd numbers of openings and even numbers of columns. The gate in Vancouver adheres to classical proportions and observes the principles of ""feng-shui"" for proper placement. Two stone lions are on the West side of the gate.","The gate demarcates the western entrance to historic Chinatown. The Chinese word for gate is ""Pailou"" which means a tablet or sign structure. The Chinese have a reverence for the writen word and so sign structures are very important. As this is an inner city gate, it takes as its inspiration the Inner City Gates of Beijing in the 19th and early 20th centuries.",Pender Street at Taylor,https://app.vancouver.ca/publicart_net/Img/jpg/397.jpg
